instance,variant,run,seed,value,weight,feasible,seconds,items
p01,MMAS,3,987854324,309,165,1,0.125985,1 2 3 4 6
p01,MMAS,4,987854325,309,165,1,0.118958,1 2 3 4 6
p01,MMAS,5,987854326,309,165,1,0.117273,1 2 3 4 6
p01,MMAS,6,987854327,309,165,1,0.119095,1 2 3 4 6
p01,MMAS,7,987854328,309,165,1,0.117985,1 2 3 4 6
p01,MMAS,8,987854329,309,165,1,0.119183,1 2 3 4 6
p01,MMAS,9,987854330,309,165,1,0.117496,1 2 3 4 6
p01,MMAS,10,987854331,309,165,1,0.11882,1 2 3 4 6
p01,MMAS,11,987854332,309,165,1,0.115436,1 2 3 4 6
p01,MMAS,12,987854333,309,165,1,0.11506,1 2 3 4 6
p01,MMAS,13,987854334,309,165,1,0.114423,1 2 3 4 6
p01,MMAS,14,987854335,309,165,1,0.111821,1 2 3 4 6
p01,MMAS,15,987854336,309,165,1,0.117279,1 2 3 4 6
p01,MMAS,16,987854337,309,165,1,0.120107,1 2 3 4 6
p01,MMAS,17,987854338,309,165,1,0.114553,1 2 3 4 6
p01,MMAS,18,987854339,309,165,1,0.117944,1 2 3 4 6
p01,MMAS,19,987854340,309,165,1,0.117305,1 2 3 4 6
p01,MMAS,20,987854341,309,165,1,0.11786,1 2 3 4 6
p01,ACS,1,987954322,309,165,1,0.109741,1 2 3 4 6
p01,ACS,2,987954323,309,165,1,0.107782,1 2 3 4 6
p01,ACS,3,987954324,309,165,1,0.105876,1 2 3 4 6
p01,ACS,4,987954325,309,165,1,0.107954,1 2 3 4 6
p01,ACS,5,987954326,309,165,1,0.11473,1 2 3 4 6
p01,ACS,6,987954327,309,165,1,0.115246,1 2 3 4 6
p01,ACS,7,987954328,309,165,1,0.114508,1 2 3 4 6
p01,ACS,8,987954329,309,165,1,0.109156,1 2 3 4 6
p01,ACS,9,987954330,309,165,1,0.111388,1 2 3 4 6
p01,ACS,10,987954331,309,165,1,0.15868,1 2 3 4 6
p01,ACS,11,987954332,309,165,1,0.109927,1 2 3 4 6
p01,ACS,12,987954333,309,165,1,0.109082,1 2 3 4 6
p01,ACS,13,987954334,309,165,1,0.115322,1 2 3 4 6
p01,ACS,14,987954335,309,165,1,0.113944,1 2 3 4 6
p01,ACS,15,987954336,309,165,1,0.113361,1 2 3 4 6
p01,ACS,16,987954337,309,165,1,0.113203,1 2 3 4 6
p01,ACS,17,987954338,309,165,1,0.112285,1 2 3 4 6
p01,ACS,18,987954339,309,165,1,0.108014,1 2 3 4 6
p01,ACS,19,987954340,309,165,1,0.108302,1 2 3 4 6
p01,ACS,20,987954341,309,165,1,0.108891,1 2 3 4 6
p02,AS,1,987654322,51,26,1,0.0503697,2 3 4
p02,AS,2,987654323,51,26,1,0.0520355,2 3 4
p02,AS,3,987654324,51,26,1,0.0527829,2 3 4
p02,AS,4,987654325,51,26,1,0.0508967,2 3 4
p02,AS,5,987654326,51,26,1,0.0561735,2 3 4
p02,AS,6,987654327,51,26,1,0.0510741,2 3 4
p02,AS,7,987654328,51,26,1,0.0559044,2 3 4
p02,AS,8,987654329,51,26,1,0.0528224,2 3 4
p02,AS,9,987654330,51,26,1,0.0553145,2 3 4
p02,AS,10,987654331,51,26,1,0.054903,2 3 4
p02,AS,11,987654332,51,26,1,0.0548553,2 3 4
p02,AS,12,987654333,51,26,1,0.0475921,2 3 4
p02,AS,13,987654334,51,26,1,0.0489931,2 3 4
p02,AS,14,987654335,51,26,1,0.0548291,2 3 4
p02,AS,15,987654336,51,26,1,0.0483625,2 3 4
p02,AS,16,987654337,51,26,1,0.0915404,2 3 4
p02,AS,17,987654338,51,26,1,0.0581773,2 3 4
p02,AS,18,987654339,51,26,1,0.0624416,2 3 4
p02,AS,19,987654340,51,26,1,0.0589868,2 3 4
p02,AS,20,987654341,51,26,1,0.0639701,2 3 4
p02,ASRank,1,987754322,51,26,1,0.0611391,2 3 4
p02,ASRank,2,987754323,51,26,1,0.0672659,2 3 4
p02,ASRank,3,987754324,51,26,1,0.0638109,2 3 4
p02,ASRank,4,987754325,51,26,1,0.0687379,2 3 4
p02,ASRank,5,987754326,51,26,1,0.0620145,2 3 4
p02,ASRank,6,987754327,51,26,1,0.0677395,2 3 4
p02,ASRank,7,987754328,51,26,1,0.0637496,2 3 4
p02,ASRank,8,987754329,51,26,1,0.0701253,2 3 4
p02,ASRank,9,987754330,51,26,1,0.0660135,2 3 4
p02,ASRank,10,987754331,51,26,1,0.0677528,2 3 4
p02,ASRank,11,987754332,51,26,1,0.0629095,2 3 4
p02,ASRank,12,987754333,51,26,1,0.0674332,2 3 4
p02,ASRank,13,987754334,51,26,1,0.062809,2 3 4
p02,ASRank,14,987754335,51,26,1,0.0677106,2 3 4
p02,ASRank,15,987754336,51,26,1,0.0671479,2 3 4
p02,ASRank,16,987754337,51,26,1,0.0621532,2 3 4
p02,ASRank,17,987754338,51,26,1,0.0688648,2 3 4
p02,ASRank,18,987754339,51,26,1,0.0680151,2 3 4
p02,ASRank,19,987754340,51,26,1,0.0644757,2 3 4
p02,ASRank,20,987754341,51,26,1,0.0653954,2 3 4
p02,MMAS,1,987854322,51,26,1,0.0642311,2 3 4
p02,MMAS,2,987854323,51,26,1,0.0693533,2 3 4
p02,MMAS,3,987854324,51,26,1,0.0652899,2 3 4
p02,MMAS,4,987854325,51,26,1,0.0668435,2 3 4
p02,MMAS,5,987854326,51,26,1,0.100118,2 3 4
