instance,variant,ants,iters,alpha,beta,rho,w,q0,xi,rep,best_value,best_weight,feasible,elapsed_ms
p01,ASRank,100,300,1,4,0.1,10,0,0,1,309,165,1,52
p01,ASRank,100,300,1,4,0.1,10,0,0,2,309,165,1,58
p01,ASRank,100,300,1,4,0.1,10,0,0,3,309,165,1,57
p01,ASRank,100,300,1,4,0.3,5,0,0,1,309,165,1,57
p01,ASRank,100,300,1,4,0.3,5,0,0,2,309,165,1,59
p01,ASRank,100,300,1,4,0.3,5,0,0,3,309,165,1,81
p01,ASRank,100,300,1,4,0.3,10,0,0,1,309,165,1,65
p01,ASRank,100,300,1,4,0.3,10,0,0,2,309,165,1,60
p01,ASRank,100,300,1,4,0.3,10,0,0,3,309,165,1,58
p01,ASRank,100,600,1,2,0.1,5,0,0,1,309,165,1,115
p01,ASRank,100,600,1,2,0.1,5,0,0,2,309,165,1,110
p01,ASRank,100,600,1,2,0.1,5,0,0,3,309,165,1,127
p01,ASRank,100,600,1,2,0.1,10,0,0,1,309,165,1,119
p01,ASRank,100,600,1,2,0.1,10,0,0,2,309,165,1,144
p01,ASRank,100,600,1,2,0.1,10,0,0,3,309,165,1,100
p01,ASRank,100,600,1,2,0.3,5,0,0,1,309,165,1,101
p01,ASRank,100,600,1,2,0.3,5,0,0,2,309,165,1,110
p01,ASRank,100,600,1,2,0.3,5,0,0,3,309,165,1,116
p01,ASRank,100,600,1,2,0.3,10,0,0,1,309,165,1,116
p01,ASRank,100,600,1,2,0.3,10,0,0,2,309,165,1,110
p01,ASRank,100,600,1,2,0.3,10,0,0,3,309,165,1,102
p01,ASRank,100,600,1,3,0.1,5,0,0,1,309,165,1,102
p01,ASRank,100,600,1,3,0.1,5,0,0,2,309,165,1,112
p01,ASRank,100,600,1,3,0.1,5,0,0,3,309,165,1,130
p01,ASRank,100,600,1,3,0.1,10,0,0,1,309,165,1,107
p01,ASRank,100,600,1,3,0.1,10,0,0,2,309,165,1,104
p01,ASRank,100,600,1,3,0.1,10,0,0,3,309,165,1,114
p01,ASRank,100,600,1,3,0.3,5,0,0,1,309,165,1,109
p01,ASRank,100,600,1,3,0.3,5,0,0,2,309,165,1,100
p01,ASRank,100,600,1,3,0.3,5,0,0,3,309,165,1,116
p01,ASRank,100,600,1,3,0.3,10,0,0,1,309,165,1,159
p01,ASRank,100,600,1,3,0.3,10,0,0,2,309,165,1,123
p01,ASRank,100,600,1,3,0.3,10,0,0,3,309,165,1,120
p01,ASRank,100,600,1,4,0.1,5,0,0,1,309,165,1,126
p01,ASRank,100,600,1,4,0.1,5,0,0,2,309,165,1,108
p01,ASRank,100,600,1,4,0.1,5,0,0,3,309,165,1,115
p01,ASRank,100,600,1,4,0.1,10,0,0,1,309,165,1,119
p01,ASRank,100,600,1,4,0.1,10,0,0,2,309,165,1,112
p01,ASRank,100,600,1,4,0.1,10,0,0,3,309,165,1,105
p01,ASRank,100,600,1,4,0.3,5,0,0,1,309,165,1,110
p01,ASRank,100,600,1,4,0.3,5,0,0,2,309,165,1,106
p01,ASRank,100,600,1,4,0.3,5,0,0,3,309,165,1,100
p01,ASRank,100,600,1,4,0.3,10,0,0,1,309,165,1,110
p01,ASRank,100,600,1,4,0.3,10,0,0,2,309,165,1,105
p01,ASRank,100,600,1,4,0.3,10,0,0,3,309,165,1,109
p01,MMAS,50,300,1,2,0.1,0,0,0,1,309,165,1,28
p01,MMAS,50,300,1,2,0.1,0,0,0,2,309,165,1,25
p01,MMAS,50,300,1,2,0.1,0,0,0,3,309,165,1,24
p01,MMAS,50,300,1,2,0.3,0,0,0,1,309,165,1,24
p01,MMAS,50,300,1,2,0.3,0,0,0,2,309,165,1,24
p01,MMAS,50,300,1,2,0.3,0,0,0,3,309,165,1,27
p01,MMAS,50,300,1,3,0.1,0,0,0,1,309,165,1,26
p01,MMAS,50,300,1,3,0.1,0,0,0,2,309,165,1,24
p01,MMAS,50,300,1,3,0.1,0,0,0,3,309,165,1,25
p01,MMAS,50,300,1,3,0.3,0,0,0,1,309,165,1,24
p01,MMAS,50,300,1,3,0.3,0,0,0,2,309,165,1,24
p01,MMAS,50,300,1,3,0.3,0,0,0,3,309,165,1,24
p01,MMAS,50,300,1,4,0.1,0,0,0,1,309,165,1,25
p01,MMAS,50,300,1,4,0.1,0,0,0,2,309,165,1,27
p01,MMAS,50,300,1,4,0.1,0,0,0,3,309,165,1,28
p01,MMAS,50,300,1,4,0.3,0,0,0,1,309,165,1,25
p01,MMAS,50,300,1,4,0.3,0,0,0,2,309,165,1,25
p01,MMAS,50,300,1,4,0.3,0,0,0,3,309,165,1,25
p01,MMAS,50,600,1,2,0.1,0,0,0,1,309,165,1,60
p01,MMAS,50,600,1,2,0.1,0,0,0,2,309,165,1,57
p01,MMAS,50,600,1,2,0.1,0,0,0,3,309,165,1,49
p01,MMAS,50,600,1,2,0.3,0,0,0,1,309,165,1,49
p01,MMAS,50,600,1,2,0.3,0,0,0,2,309,165,1,50
p01,MMAS,50,600,1,2,0.3,0,0,0,3,309,165,1,49
p01,MMAS,50,600,1,3,0.1,0,0,0,1,309,165,1,50
p01,MMAS,50,600,1,3,0.1,0,0,0,2,309,165,1,54
p01,MMAS,50,600,1,3,0.1,0,0,0,3,309,165,1,50
p01,MMAS,50,600,1,3,0.3,0,0,0,1,309,165,1,50
p01,MMAS,50,600,1,3,0.3,0,0,0,2,309,165,1,49
p01,MMAS,50,600,1,3,0.3,0,0,0,3,309,165,1,49
p01,MMAS,50,600,1,4,0.1,0,0,0,1,309,165,1,50
p01,MMAS,50,600,1,4,0.1,0,0,0,2,309,165,1,50
p01,MMAS,50,600,1,4,0.1,0,0,0,3,309,165,1,49
p01,MMAS,50,600,1,4,0.3,0,0,0,1,309,165,1,49
p01,MMAS,50,600,1,4,0.3,0,0,0,2,309,165,1,51
p01,MMAS,50,600,1,4,0.3,0,0,0,3,309,165,1,54
p01,MMAS,100,300,1,2,0.1,0,0,0,1,309,165,1,50
p01,MMAS,100,300,1,2,0.1,0,0,0,2,309,165,1,50
p01,MMAS,100,300,1,2,0.1,0,0,0,3,309,165,1,50
p01,MMAS,100,300,1,2,0.3,0,0,0,1,309,165,1,49
p01,MMAS,100,300,1,2,0.3,0,0,0,2,309,165,1,50
p01,MMAS,100,300,1,2,0.3,0,0,0,3,309,165,1,50
p01,MMAS,100,300,1,3,0.1,0,0,0,1,309,165,1,51
p01,MMAS,100,300,1,3,0.1,0,0,0,2,309,165,1,50
p01,MMAS,100,300,1,3,0.1,0,0,0,3,309,165,1,50
p01,MMAS,100,300,1,3,0.3,0,0,0,1,309,165,1,50
p01,MMAS,100,300,1,3,0.3,0,0,0,2,309,165,1,51
p01,MMAS,100,300,1,3,0.3,0,0,0,3,309,165,1,50
p01,MMAS,100,300,1,4,0.1,0,0,0,1,309,165,1,50
p01,MMAS,100,300,1,4,0.1,0,0,0,2,309,165,1,50
p01,MMAS,100,300,1,4,0.1,0,0,0,3,309,165,1,50
p01,MMAS,100,300,1,4,0.3,0,0,0,1,309,165,1,51
p01,MMAS,100,300,1,4,0.3,0,0,0,2,309,165,1,50
p01,MMAS,100,300,1,4,0.3,0,0,0,3,309,165,1,49
p01,MMAS,100,600,1,2,0.1,0,0,0,1,309,165,1,101
p01,MMAS,100,600,1,2,0.1,0,0,0,2,309,165,1,100
p01,MMAS,100,600,1,2,0.1,0,0,0,3,309,165,1,100
p01,MMAS,100,600,1,2,0.3,0,0,0,1,309,165,1,111
p01,MMAS,100,600,1,2,0.3,0,0,0,2,309,165,1,105
p01,MMAS,100,600,1,2,0.3,0,0,0,3,309,165,1,105
p01,MMAS,100,600,1,3,0.1,0,0,0,1,309,165,1,105
p01,MMAS,100,600,1,3,0.1,0,0,0,2,309,165,1,105
p01,MMAS,100,600,1,3,0.1,0,0,0,3,309,165,1,100
p01,MMAS,100,600,1,3,0.3,0,0,0,1,309,165,1,100
p01,MMAS,100,600,1,3,0.3,0,0,0,2,309,165,1,100
p01,MMAS,100,600,1,3,0.3,0,0,0,3,309,165,1,100
p01,MMAS,100,600,1,4,0.1,0,0,0,1,309,165,1,100
p01,MMAS,100,600,1,4,0.1,0,0,0,2,309,165,1,106
p01,MMAS,100,600,1,4,0.1,0,0,0,3,309,165,1,102
p01,MMAS,100,600,1,4,0.3,0,0,0,1,309,165,1,102
p01,MMAS,100,600,1,4,0.3,0,0,0,2,309,165,1,101
p01,MMAS,100,600,1,4,0.3,0,0,0,3,309,165,1,100
p01,ACS,50,300,1,2,0.1,0,0.9,0.1,1,309,165,1,23
p01,ACS,50,300,1,2,0.1,0,0.9,0.1,2,309,165,1,23
p01,ACS,50,300,1,2,0.1,0,0.9,0.1,3,309,165,1,24
p01,ACS,50,300,1,2,0.1,0,0.95,0.1,1,309,165,1,25
p01,ACS,50,300,1,2,0.1,0,0.95,0.1,2,309,165,1,23
p01,ACS,50,300,1,2,0.1,0,0.95,0.1,3,309,165,1,23
p01,ACS,50,300,1,2,0.3,0,0.9,0.1,1,309,165,1,23
p01,ACS,50,300,1,2,0.3,0,0.9,0.1,2,309,165,1,23
p01,ACS,50,300,1,2,0.3,0,0.9,0.1,3,309,165,1,24
p01,ACS,50,300,1,2,0.3,0,0.95,0.1,1,309,165,1,32
p01,ACS,50,300,1,2,0.3,0,0.95,0.1,2,309,165,1,29
p01,ACS,50,300,1,2,0.3,0,0.95,0.1,3,309,165,1,23
p01,ACS,50,300,1,3,0.1,0,0.9,0.1,1,309,165,1,23
p01,ACS,50,300,1,3,0.1,0,0.9,0.1,2,309,165,1,27
p01,ACS,50,300,1,3,0.1,0,0.9,0.1,3,309,165,1,24
p01,ACS,50,300,1,3,0.1,0,0.95,0.1,1,309,165,1,29
p01,ACS,50,300,1,3,0.1,0,0.95,0.1,2,309,165,1,27
p01,ACS,50,300,1,3,0.1,0,0.95,0.1,3,309,165,1,25
p01,ACS,50,300,1,3,0.3,0,0.9,0.1,1,309,165,1,25
p01,ACS,50,300,1,3,0.3,0,0.9,0.1,2,309,165,1,26
p01,ACS,50,300,1,3,0.3,0,0.9,0.1,3,309,165,1,23
p01,ACS,50,300,1,3,0.3,0,0.95,0.1,1,309,165,1,26
p01,ACS,50,300,1,3,0.3,0,0.95,0.1,2,309,165,1,28
p01,ACS,50,300,1,3,0.3,0,0.95,0.1,3,309,165,1,26
p01,ACS,50,300,1,4,0.1,0,0.9,0.1,1,309,165,1,27
p01,ACS,50,300,1,4,0.1,0,0.9,0.1,2,309,165,1,28
p01,ACS,50,300,1,4,0.1,0,0.9,0.1,3,309,165,1,23
p01,ACS,50,300,1,4,0.1,0,0.95,0.1,1,309,165,1,26
p01,ACS,50,300,1,4,0.1,0,0.95,0.1,2,309,165,1,24
p01,ACS,50,300,1,4,0.1,0,0.95,0.1,3,309,165,1,30
p01,ACS,50,300,1,4,0.3,0,0.9,0.1,1,309,165,1,26
p01,ACS,50,300,1,4,0.3,0,0.9,0.1,2,309,165,1,23
p01,ACS,50,300,1,4,0.3,0,0.9,0.1,3,309,165,1,23
p01,ACS,50,300,1,4,0.3,0,0.95,0.1,1,309,165,1,26
p01,ACS,50,300,1,4,0.3,0,0.95,0.1,2,309,165,1,23
p01,ACS,50,300,1,4,0.3,0,0.95,0.1,3,309,165,1,23
p01,ACS,50,600,1,2,0.1,0,0.9,0.1,1,309,165,1,47
p01,ACS,50,600,1,2,0.1,0,0.9,0.1,2,309,165,1,71
p01,ACS,50,600,1,2,0.1,0,0.9,0.1,3,309,165,1,52
p01,ACS,50,600,1,2,0.1,0,0.95,0.1,1,309,165,1,50
p01,ACS,50,600,1,2,0.1,0,0.95,0.1,2,309,165,1,50
p01,ACS,50,600,1,2,0.1,0,0.95,0.1,3,309,165,1,46
p01,ACS,50,600,1,2,0.3,0,0.9,0.1,1,309,165,1,46
p01,ACS,50,600,1,2,0.3,0,0.9,0.1,2,309,165,1,46
p01,ACS,50,600,1,2,0.3,0,0.9,0.1,3,309,165,1,46
p01,ACS,50,600,1,2,0.3,0,0.95,0.1,1,309,165,1,46
p01,ACS,50,600,1,2,0.3,0,0.95,0.1,2,309,165,1,46
p01,ACS,50,600,1,2,0.3,0,0.95,0.1,3,309,165,1,46
p01,ACS,50,600,1,3,0.1,0,0.9,0.1,1,309,165,1,56
p01,ACS,50,600,1,3,0.1,0,0.9,0.1,2,309,165,1,56
p01,ACS,50,600,1,3,0.1,0,0.9,0.1,3,309,165,1,52
p01,ACS,50,600,1,3,0.1,0,0.95,0.1,1,309,165,1,60
p01,ACS,50,600,1,3,0.1,0,0.95,0.1,2,309,165,1,49
p01,ACS,50,600,1,3,0.1,0,0.95,0.1,3,309,165,1,50
p01,ACS,50,600,1,3,0.3,0,0.9,0.1,1,309,165,1,48
p01,ACS,50,600,1,3,0.3,0,0.9,0.1,2,309,165,1,53
p01,ACS,50,600,1,3,0.3,0,0.9,0.1,3,309,165,1,53
p01,ACS,50,600,1,3,0.3,0,0.95,0.1,1,309,165,1,46
p01,ACS,50,600,1,3,0.3,0,0.95,0.1,2,309,165,1,53
p01,ACS,50,600,1,3,0.3,0,0.95,0.1,3,309,165,1,52
p01,ACS,50,600,1,4,0.1,0,0.9,0.1,1,309,165,1,49
p01,ACS,50,600,1,4,0.1,0,0.9,0.1,2,309,165,1,50
p01,ACS,50,600,1,4,0.1,0,0.9,0.1,3,309,165,1,49
p01,ACS,50,600,1,4,0.1,0,0.95,0.1,1,309,165,1,58
p01,ACS,50,600,1,4,0.1,0,0.95,0.1,2,309,165,1,51
p01,ACS,50,600,1,4,0.1,0,0.95,0.1,3,309,165,1,47
p01,ACS,50,600,1,4,0.3,0,0.9,0.1,1,309,165,1,47
p01,ACS,50,600,1,4,0.3,0,0.9,0.1,2,309,165,1,47
p01,ACS,50,600,1,4,0.3,0,0.9,0.1,3,309,165,1,52
p01,ACS,50,600,1,4,0.3,0,0.95,0.1,1,309,165,1,56
p01,ACS,50,600,1,4,0.3,0,0.95,0.1,2,309,165,1,53
p01,ACS,50,600,1,4,0.3,0,0.95,0.1,3,309,165,1,50
p01,ACS,100,300,1,2,0.1,0,0.9,0.1,1,309,165,1,46
p01,ACS,100,300,1,2,0.1,0,0.9,0.1,2,309,165,1,51
p01,ACS,100,300,1,2,0.1,0,0.9,0.1,3,309,165,1,48
p01,ACS,100,300,1,2,0.1,0,0.95,0.1,1,309,165,1,45
p01,ACS,100,300,1,2,0.1,0,0.95,0.1,2,309,165,1,45
p01,ACS,100,300,1,2,0.1,0,0.95,0.1,3,309,165,1,48
p01,ACS,100,300,1,2,0.3,0,0.9,0.1,1,309,165,1,51
p01,ACS,100,300,1,2,0.3,0,0.9,0.1,2,309,165,1,48
p01,ACS,100,300,1,2,0.3,0,0.9,0.1,3,309,165,1,51
p01,ACS,100,300,1,2,0.3,0,0.95,0.1,1,309,165,1,52
p01,ACS,100,300,1,2,0.3,0,0.95,0.1,2,309,165,1,49
p01,ACS,100,300,1,2,0.3,0,0.95,0.1,3,309,165,1,49
p01,ACS,100,300,1,3,0.1,0,0.9,0.1,1,309,165,1,46
p01,ACS,100,300,1,3,0.1,0,0.9,0.1,2,309,165,1,45
p01,ACS,100,300,1,3,0.1,0,0.9,0.1,3,309,165,1,47
p01,ACS,100,300,1,3,0.1,0,0.95,0.1,1,309,165,1,48
p01,ACS,100,300,1,3,0.1,0,0.95,0.1,2,309,165,1,47
p01,ACS,100,300,1,3,0.1,0,0.95,0.1,3,309,165,1,47
p01,ACS,100,300,1,3,0.3,0,0.9,0.1,1,309,165,1,51
p01,ACS,100,300,1,3,0.3,0,0.9,0.1,2,309,165,1,50
