instance,variant,best_value,best_weight,feasible,best_seconds,mean_seconds,std_seconds,hit_optimal,target,best_seed
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.0001_s_100\test.in,MMAS,0,0,1,0.000596,0.00054268,0.000130558,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.0001_s_100\test.in,ACS,0,0,1,0.0001407,0.000116255,1.50478e-05,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.0001_s_200\test.in,AS,0,0,1,0.0003424,0.000346035,6.4025e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.0001_s_200\test.in,ASRank,0,0,1,0.0005479,0.000573795,9.93217e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.0001_s_200\test.in,MMAS,0,0,1,0.0003289,0.000379165,6.5603e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.0001_s_200\test.in,ACS,0,0,1,0.0001083,0.00010804,9.52091e-06,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.0001_s_300\test.in,AS,0,0,1,0.0004062,0.00035905,5.65451e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.0001_s_300\test.in,ASRank,0,0,1,0.0005119,0.000532185,3.52444e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.0001_s_300\test.in,MMAS,0,0,1,0.0003666,0.000350585,3.45961e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.0001_s_300\test.in,ACS,0,0,1,0.0001081,0.000109425,7.10707e-06,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.001_s_100\test.in,AS,0,0,1,0.000349,0.00034574,1.95722e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.001_s_100\test.in,ASRank,0,0,1,0.0005191,0.000652715,0.000229399,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.001_s_100\test.in,MMAS,0,0,1,0.0003317,0.00034269,2.57751e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.001_s_100\test.in,ACS,0,0,1,0.000107,0.000113025,1.38741e-05,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.001_s_200\test.in,AS,0,0,1,0.0003381,0.00034454,5.46659e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.001_s_200\test.in,ASRank,0,0,1,0.0006246,0.000547595,6.57343e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.001_s_200\test.in,MMAS,0,0,1,0.0003304,0.000331785,7.21791e-06,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.001_s_200\test.in,ACS,0,0,1,0.0001013,0.000107105,9.15616e-06,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.001_s_300\test.in,AS,0,0,1,0.0003973,0.00044001,2.3698e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.001_s_300\test.in,ASRank,0,0,1,0.0006823,0.000625225,3.4623e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.001_s_300\test.in,MMAS,0,0,1,0.0004004,0.00035235,1.26737e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.001_s_300\test.in,ACS,0,0,1,0.0001119,0.000110615,9.43422e-06,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.01_s_100\test.in,AS,0,0,1,0.0003561,0.0003928,1.78588e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.01_s_100\test.in,ASRank,0,0,1,0.000612,0.000552555,3.45518e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.01_s_100\test.in,MMAS,0,0,1,0.0003566,0.00033324,1.17747e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.01_s_100\test.in,ACS,0,0,1,0.0001056,0.00010376,1.47983e-06,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.01_s_200\test.in,AS,0,0,1,0.0003846,0.000388295,1.98682e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.01_s_200\test.in,ASRank,0,0,1,0.0005537,0.00054283,2.84579e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.01_s_200\test.in,MMAS,0,0,1,0.0003644,0.000364055,1.78948e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.01_s_200\test.in,ACS,0,0,1,0.0001085,0.00010837,6.52534e-06,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.01_s_300\test.in,AS,0,0,1,0.0004088,0.0004014,9.19445e-06,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.01_s_300\test.in,ASRank,0,0,1,0.0006209,0.00057362,2.88005e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.01_s_300\test.in,MMAS,0,0,1,0.0003572,0.000333565,1.89241e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.01_s_300\test.in,ACS,0,0,1,0.0001193,0.000108415,1.69507e-05,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.1_s_100\test.in,AS,0,0,1,0.0003398,0.000341195,1.22585e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.1_s_100\test.in,ASRank,0,0,1,0.0006024,0.00053088,2.4888e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.1_s_100\test.in,MMAS,0,0,1,0.0003298,0.00032933,6.35858e-07,0,0,212346
