instance,profile,variant,best_value,best_weight,feasible,best_seconds,mean_seconds,std_seconds,hit_optimal,target,best_seed
p07.txt,3,AS,1458,749,1,0.209545,0.299826,0.0576999,0,0,112364
p07.txt,3,ASRank,1458,749,1,0.204054,0.301156,0.0508782,0,0,212349
p07.txt,3,MMAS,1458,749,1,0.172054,0.210785,0.0404992,0,0,312364
p07.txt,3,ACS,1458,749,1,0.160481,0.185602,0.0390061,0,0,412362
p08.txt,3,AS,13549094,6402560,1,0.424595,0.517318,0.098338,0,0,112350
p08.txt,3,ASRank,13549094,6402560,1,0.437595,0.540715,0.0595929,0,0,212347
p08.txt,3,MMAS,13549094,6402560,1,0.414715,0.502437,0.0584791,0,0,312358
p08.txt,3,ACS,13501943,6383480,1,0.45611,0.502656,0.0546265,0,0,412352
p01.txt,1,AS,309,165,1,0.0192117,0.0292984,0.0048279,0,0,112350
p01.txt,1,ASRank,309,165,1,0.0184851,0.0231533,0.00494775,0,0,212358
p01.txt,1,MMAS,309,165,1,0.0164485,0.0192721,0.00191055,0,0,312348
p01.txt,1,ACS,309,165,1,0.0171806,0.0234425,0.00593313,0,0,412346
p02.txt,1,AS,51,26,1,0.008192,0.0114611,0.00511492,0,0,112354
p02.txt,1,ASRank,51,26,1,0.0084826,0.00944968,0.00143671,0,0,212347
p02.txt,1,MMAS,51,26,1,0.0082027,0.00868948,0.000418842,0,0,312358
p02.txt,1,ACS,51,26,1,0.007292,0.0108611,0.00218971,0,0,412362
p03.txt,1,AS,150,190,1,0.0096238,0.0154257,0.00388659,0,0,112364
p03.txt,1,ASRank,150,190,1,0.0091769,0.00990777,0.000435088,0,0,212358
p03.txt,1,MMAS,150,190,1,0.0094034,0.0100973,0.000399224,0,0,312362
p03.txt,1,ACS,150,190,1,0.0079538,0.00806703,0.000172427,0,0,412363
p04.txt,1,AS,107,50,1,0.0118394,0.0134336,0.00174849,0,0,112356
p04.txt,1,ASRank,107,50,1,0.0069082,0.00858526,0.0019525,0,0,212364
p04.txt,1,MMAS,107,50,1,0.0071578,0.00820742,0.000478756,0,0,312364
p04.txt,1,ACS,107,50,1,0.0065938,0.00816881,0.00617324,0,0,412355
p05.txt,1,AS,900,104,1,0.0175933,0.0231537,0.0064849,0,0,112364
p05.txt,1,ASRank,900,104,1,0.0155159,0.0195336,0.00355606,0,0,212364
p05.txt,1,MMAS,900,104,1,0.0168471,0.024094,0.006917,0,0,312365
p05.txt,1,ACS,900,104,1,0.0147806,0.0201711,0.00651098,0,0,412365
p06.txt,1,AS,1735,169,1,0.0111657,0.0144662,0.00216398,0,0,112365
p06.txt,1,ASRank,1735,169,1,0.0113562,0.0140436,0.003131,0,0,212346
p06.txt,1,MMAS,1735,169,1,0.009668,0.0117298,0.00169129,0,0,312364
p06.txt,1,ACS,1682,166,1,0.0103208,0.012123,0.00711751,0,0,412360
p07.txt,1,AS,1458,749,1,0.0405351,0.073675,0.0200756,0,0,112350
p07.txt,1,ASRank,1458,749,1,0.0717068,0.0811221,0.00967329,0,0,212357
p07.txt,1,MMAS,1458,749,1,0.0494321,0.0825644,0.0209792,0,0,312348
p07.txt,1,ACS,1458,749,1,0.0498655,0.0770125,0.0117133,0,0,412347
p08.txt,1,AS,13549094,6402560,1,0.180692,0.196157,0.0212407,0,0,112359
p08.txt,1,ASRank,13549094,6402560,1,0.155436,0.189219,0.0177483,0,0,212365
p08.txt,1,MMAS,13549094,6402560,1,0.0996479,0.160971,0.0339035,0,0,312348
p08.txt,1,ACS,13509694,6390248,1,0.146675,0.189021,0.0410281,0,0,412352
p01.txt,1,AS,309,165,1,0.0165144,0.0213661,0.00848702,0,0,112353
p01.txt,1,ASRank,309,165,1,0.0177913,0.0187668,0.00102364,0,0,212361
p01.txt,1,MMAS,309,165,1,0.0166992,0.0194802,0.00480218,0,0,312352
p01.txt,1,ACS,309,165,1,0.015936,0.0203972,0.00611078,0,0,412349
p02.txt,1,AS,51,26,1,0.0079258,0.00856918,0.000668969,0,0,112362
p02.txt,1,ASRank,51,26,1,0.0080561,0.00812474,7.08055e-05,0,0,212364
p02.txt,1,MMAS,51,26,1,0.0079253,0.00796004,3.8804e-05,0,0,312358
p02.txt,1,ACS,51,26,1,0.0063296,0.00660232,0.000110967,0,0,412365
p03.txt,1,AS,150,190,1,0.0091156,0.00960114,0.00113387,0,0,112353
p03.txt,1,ASRank,150,190,1,0.0093365,0.0127847,0.00320644,0,0,212356
p03.txt,1,MMAS,150,190,1,0.0090794,0.00917636,0.000125375,0,0,312354
p03.txt,1,ACS,150,190,1,0.0079066,0.00803035,0.000354016,0,0,412365
p04.txt,1,AS,107,50,1,0.0109047,0.0119325,0.000378269,0,0,112364
p04.txt,1,ASRank,107,50,1,0.007067,0.00824366,0.000929763,0,0,212365
p04.txt,1,MMAS,107,50,1,0.0072103,0.00842182,0.000465541,0,0,312365
p04.txt,1,ACS,107,50,1,0.0065945,0.0107678,0.00640205,0,0,412362
p05.txt,1,AS,900,104,1,0.0181824,0.019361,0.00304422,0,0,112347
p05.txt,1,ASRank,900,104,1,0.0158157,0.0182773,0.00382331,0,0,212365
p05.txt,1,MMAS,900,104,1,0.0154156,0.0172854,0.00178079,0,0,312365
p05.txt,1,ACS,900,104,1,0.0143202,0.0180363,0.00703711,0,0,412351
p06.txt,1,AS,1735,169,1,0.0106883,0.0153494,0.00532742,0,0,112352
p06.txt,1,ASRank,1735,169,1,0.0111511,0.0132669,0.00225596,0,0,212349
p06.txt,1,MMAS,1735,169,1,0.0093258,0.0130192,0.00282532,0,0,312365
p06.txt,1,ACS,1682,166,1,0.0150014,0.0125443,0.00854024,0,0,412360
p07.txt,1,AS,1458,749,1,0.0385745,0.0476041,0.00999581,0,0,112363
p07.txt,1,ASRank,1458,749,1,0.0372617,0.0450661,0.00996799,0,0,212356
p07.txt,1,MMAS,1458,749,1,0.0369989,0.0467358,0.0111556,0,0,312355
p07.txt,1,ACS,1458,749,1,0.0341417,0.0509902,0.0217539,0,0,412349
p08.txt,1,AS,13549094,6402560,1,0.117593,0.19532,0.0507208,0,0,112364
p08.txt,1,ASRank,13549094,6402560,1,0.0669616,0.129877,0.0290477,0,0,212346
p08.txt,1,MMAS,13549094,6402560,1,0.0991138,0.12282,0.0258814,0,0,312363
p08.txt,1,ACS,13509694,6390248,1,0.110584,0.137955,0.034425,0,0,412352
